产品编号,图片序号,图片类型,CDN_URL,文件名,是否主图,品牌标签,检测方法,置信度,处理时间
802558 RENE WS04SH,3,附图2,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_6.jpg,802558%20RENE%20WS04SH_6.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,4,附图3,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_7.jpg,802558%20RENE%20WS04SH_7.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,5,附图4,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_8.jpg,802558%20RENE%20WS04SH_8.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,6,附图5,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_9.jpg,802558%20RENE%20WS04SH_9.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,7,附图6,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_10.jpg,802558%20RENE%20WS04SH_10.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,8,附图7,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_11.jpg,802558%20RENE%20WS04SH_11.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,9,附图8,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_2.jpg,802558%20RENE%20WS04SH_2.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,10,附图9,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_3.jpg,802558%20RENE%20WS04SH_3.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802559 RENE WS04SH,1,主图,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_4.jpg,802559%20RENE%20WS04SH_4.jpg,是,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802559 RENE WS04SH,2,附图1,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_5.jpg,802559%20RENE%20WS04SH_5.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802559 RENE WS04SH,3,附图2,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_6.jpg,802559%20RENE%20WS04SH_6.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802559 RENE WS04SH,4,附图3,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_7.jpg,802559%20RENE%20WS04SH_7.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802559 RENE WS04SH,5,附图4,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_8.jpg,802559%20RENE%20WS04SH_8.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802559 RENE WS04SH,6,附图5,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_9.jpg,802559%20RENE%20WS04SH_9.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802559 RENE WS04SH,7,附图6,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_10.jpg,802559%20RENE%20WS04SH_10.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802559 RENE WS04SH,8,附图7,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_11.jpg,802559%20RENE%20WS04SH_11.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802559 RENE WS04SH,9,附图8,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_2.jpg,802559%20RENE%20WS04SH_2.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802559 RENE WS04SH,10,附图9,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_3.jpg,802559%20RENE%20WS04SH_3.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802561 RENE WS04SH,1,主图,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_4.jpg,802561%20RENE%20WS04SH_4.jpg,是,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802561 RENE WS04SH,2,附图1,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_5.jpg,802561%20RENE%20WS04SH_5.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802561 RENE WS04SH,3,附图2,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_6.jpg,802561%20RENE%20WS04SH_6.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802561 RENE WS04SH,4,附图3,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_7.jpg,802561%20RENE%20WS04SH_7.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802561 RENE WS04SH,5,附图4,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_8.jpg,802561%20RENE%20WS04SH_8.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802561 RENE WS04SH,6,附图5,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_9.jpg,802561%20RENE%20WS04SH_9.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802561 RENE WS04SH,7,附图6,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_10.jpg,802561%20RENE%20WS04SH_10.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802561 RENE WS04SH,8,附图7,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_11.jpg,802561%20RENE%20WS04SH_11.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802561 RENE WS04SH,9,附图8,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_12.jpg,802561%20RENE%20WS04SH_12.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802561 RENE WS04SH,10,附图9,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_2.jpg,802561%20RENE%20WS04SH_2.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802561 RENE WS04SH,11,附图10,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_3.jpg,802561%20RENE%20WS04SH_3.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802562 RENE WS04SH,1,主图,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_4.jpg,802562%20RENE%20WS04SH_4.jpg,是,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802562 RENE WS04SH,2,附图1,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_5.jpg,802562%20RENE%20WS04SH_5.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802562 RENE WS04SH,3,附图2,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_6.jpg,802562%20RENE%20WS04SH_6.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802562 RENE WS04SH,4,附图3,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_7.jpg,802562%20RENE%20WS04SH_7.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802562 RENE WS04SH,5,附图4,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_8.jpg,802562%20RENE%20WS04SH_8.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802562 RENE WS04SH,6,附图5,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_9.jpg,802562%20RENE%20WS04SH_9.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802562 RENE WS04SH,7,附图6,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_10.jpg,802562%20RENE%20WS04SH_10.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
